title,format,start_year,episodes,duration,runtime,genres,mean_score,popularity
3x3 EYES Seima Densetsu,OVA,1995,3,45,135,Action- Adventure- Fantasy- Horror- Romance,66,3476
47 Todoufuken,TV_SHORT,2011,26,1,26,Comedy,45,249
47 Todoufuken R,TV_SHORT,2014,12,5,60,Comedy,42,274
48x61,ONA,2002,1,6,6,Comedy- Sports,48,866
5-tou ni Naritai.,MOVIE,1995,1,75,75,Drama- Slice of Life,67,1328
6 Angels,ONA,2001,6,15,90,Action- Sci-Fi,33,1087
6 LOVERS,OVA,2021,6,4,24,Comedy- Drama- Romance- Slice of Life- Supernatural,52,4916
663114,MOVIE,2011,1,7,7,Fantasy,48,1311
77 Danui Bimil,MOVIE,1978,1,69,69,Action- Drama,31,246
8 Man,TV,1963,56,24,1344,Action- Drama- Mecha- Sci-Fi,55,936
8 Man AFTER,OVA,1993,4,25,100,Action- Drama- Sci-Fi,62,1617
82 Oshougatsuda yo! Doraemon- Kaibutsu-kun- Ninja Hattori-kun,SPECIAL,1979,1,23,23,Comedy,67,982
84 Taekwon V,MOVIE,1984,1,78,78,Action- Mecha- Sci-Fi,39,196
8-gatsu 26-nichi: Chou Hidamatsuri Special,SPECIAL,2007,1,2,2,Comedy- Slice of Life,63,1708
91 Daze,SPECIAL,2016,7,2,14,Comedy,56,2747
9-tsu no Bouken,SPECIAL,2024,1,3,3,Adventure- Fantasy,65,282
A New Journey,ONA,2019,1,1,1,Action- Slice of Life,57,1579
a piece of PHANTASMAGORIA,OVA,1995,15,5,75,Fantasy- Sci-Fi- Slice of Life,60,2499
A Ripple in Time,ONA,2022,1,6,6,Adventure- Fantasy,59,1820
A. F,SPECIAL,2002,1,15,15,Action- Mecha- Sci-Fi,35,500
A.D. Police,TV,1999,12,24,288,Action- Mecha- Sci-Fi,56,3725
a_caFe,ONA,2002,1,1,1,Fantasy,39,1163
A・LI・CE,MOVIE,2000,1,85,85,Adventure- Drama- Sci-Fi,37,1092
Aa! Megami-sama! (2011),OVA,2011,3,28,84,Comedy- Romance- Supernatural,71,4845
Aa! Megami-sama! Movie,MOVIE,2000,1,106,106,Drama- Romance- Supernatural,73,7499
Aa! Megami-sama! Specials,SPECIAL,2005,2,24,48,Comedy- Romance- Supernatural,72,4518
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,TV_SHORT,1998,48,7,336,Comedy- Supernatural,64,3152
Aa! Megami-sama!: Sorezore no Tsubasa Specials,SPECIAL,2007,2,24,48,Comedy- Romance- Supernatural,73,4797
Aa! Megami-sama!: Tatakau Tsubasa,SPECIAL,2007,2,24,48,Comedy- Romance- Supernatural,73,4875
Aachi wa Ssipak,MOVIE,2006,1,88,88,Action- Comedy- Sci-Fi,59,2467
Abarenbou Rikishi!! Matsutarou,TV,2014,23,22,506,Comedy- Sports,55,2352
Abashiri Ikka,OVA,1991,4,18,72,Action- Comedy,49,1659
ABCiee Shuugyou Nikki,TV_SHORT,2021,12,3,36,Comedy,50,1259
Abe George Kattobi Seishun Ki: Shibuya Honky Tonk,OVA,1988,4,35,140,Drama- Ecchi,43,411
ABUNAI SISTERS: KOKO & MIKA,OVA,2009,10,3,30,Action- Comedy- Ecchi,20,2775
ACCA: 13-ku Kansatsu-ka - Regards,OVA,2020,1,45,45,Drama- Mystery,71,7329
ACCA: 13-ku Kansatsu-ka Specials,SPECIAL,2017,6,5,30,Drama,65,3942
Acchi Kocchi Youchien,SPECIAL,2012,12,1,12,Comedy,68,1982
Ace wo Nerae! (1979),MOVIE,1979,1,90,90,Drama- Romance- Sports,70,2455
Ace wo Nerae! 2,OVA,1988,13,25,325,Drama- Sports,76,2091
Ace wo Nerae: Final Stage,OVA,1989,12,24,288,Action- Sports,73,1592
A-Channel: +A-Channel,SPECIAL,2011,11,2,22,Comedy- Slice of Life,67,4881
A-Channel: A-Channel+smile,OVA,2012,2,25,50,Comedy- Slice of Life,69,6007
A-Channel: Nabe wo Tabeyou,OVA,2017,1,23,23,Comedy- Slice of Life,67,3137
Action Heroine Cheer Fruits,TV,2017,12,24,288,Comedy- Slice of Life,62,5183
ACTORS: Songs Connection,TV,2019,12,24,288,Comedy- Music- Mystery- Slice of Life,58,6566
Ad Lib Anime Kenkyuujo,TV,2011,38,20,760,Comedy,50,332
AD Police,OVA,1990,3,27,81,Action- Adventure- Horror- Mecha- Mystery- Psychological- Sci-Fi- Thriller,59,6771
Adachi to Shimamura Mini Anime,ONA,2020,30,1,30,Comedy,55,1131
Adesugata Mahou no Sannin Musume,OVA,1986,1,30,30,Comedy- Mahou Shoujo,53,726
Aesop World,TV_SHORT,1999,26,11,286,Adventure,47,215
Africa no Salaryman,ONA,2017,10,3,30,Comedy,52,994
Afro Samurai Pilot,SPECIAL,2003,1,4,4,Action,64,3912
Afro-Ken,OVA,2001,1,29,29,Comedy,52,1204
After Epochs,MUSIC,2024,1,4,4,Adventure- Fantasy,71,524
Aftermath,MUSIC,2016,1,5,5,Drama,57,669
Afuregu!: Aufregendes leben,MUSIC,2022,1,2,2,Drama- Slice of Life,67,600
AGAINST,ONA,2013,1,1,1,Fantasy,42,243
Ageo to Tim,TV_SHORT,2024,12,2,24,Comedy,37,136
Agigongryong Doolie,TV_SHORT,1987,6,15,90,Adventure,44,191
Agigongryong Doolie (2009),TV,2009,26,20,520,Adventure,40,165
A-Girl,OVA,1993,1,31,31,Drama- Romance,56,2396
Aguu: Tensai Ningyou,TV,2018,12,23,276,Action- Drama- Supernatural,48,2556
Aharen-san wa Hakarenai Mini,ONA,2022,18,1,18,Comedy,58,2345
Ahoy!! Warera Houshou Kaizoku-dan☆,MUSIC,2020,1,2,2,Adventure,76,3033
Ai Doll,OVA,2000,4,37,148,Drama- Hentai,51,848
Ai Mai! Moe Can Change!,OVA,2012,1,24,24,Comedy- Sci-Fi,49,2173
Ai Monogatari: 9 Love Stories,OVA,1993,1,92,92,Drama- Romance,64,2110
Ai no Gakko Cuore Monogatari,TV,1981,26,20,520,Drama,64,808
Ai no Kiseki: Doctor Norman Monogatari,SPECIAL,1982,1,85,85,Drama,50,51
Ai no Kusabi,OVA,1992,2,54,108,Action- Drama- Romance- Sci-Fi,62,7188
Ai no Kusabi (2012),OVA,2012,4,25,100,Drama- Romance- Sci-Fi,58,6058
Ai no Senshi Rainbowman,TV,1982,22,25,550,Action- Adventure- Mecha- Sci-Fi,67,434
Ai no Wakakusa Monogatari,TV,1987,48,24,1152,Drama- Slice of Life,73,3108
Ai no Wakakusa Monogatari Specials,SPECIAL,2001,2,45,90,Drama- Slice of Life,62,365
Ai no Wakakusa Yama Monogatari,TV_SHORT,1999,12,4,48,Comedy- Slice of Life,51,665
Ai Shoujo Pollyanna Story,TV,1986,51,26,1326,Drama- Slice of Life,69,1969
Ai Sky Tree 21,ONA,2012,1,1,1,Action,33,336
Ai Tenshi Densetsu Wedding Peach,TV,1995,51,24,1224,Adventure- Comedy- Mahou Shoujo- Romance,65,5367
Ai Tenshi Densetsu Wedding Peach DX,OVA,1996,4,30,120,Adventure- Comedy- Mahou Shoujo- Romance,65,1632
Ai Tenshi Densetsu Wedding Peach Specials,SPECIAL,1995,2,10,20,Adventure- Comedy- Mahou Shoujo- Romance,60,573
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,OVA,1990,1,45,45,Adventure- Comedy- Fantasy,42,471
Ai to Shi,SPECIAL,2013,1,1,1,Action,48,290
Ai to Yuuki no Pig Girl Tonde Buurin,TV,1994,51,25,1275,Adventure- Comedy- Fantasy- Mahou Shoujo- Romance,65,2423
Ai wa KAT-TUN,ONA,2012,5,1,5,Comedy,45,460
Ai wo Komete,ONA,2015,1,5,5,Comedy- Slice of Life,54,585
Ai Yori Aoshi: Enishi - Miyuki,SPECIAL,2003,1,16,16,Comedy- Drama- Romance,64,2895
Ai Yori Aoshi: Yumegatari,SPECIAL,2002,1,4,4,Comedy- Romance- Slice of Life,62,2012
Ai Zai Xi Yuan Qian,ONA,2019,12,15,180,Drama- Fantasy- Romance,64,746
